id,name,taxa_kind_id_name,description,col_id,eol_id,Sinonimi,Autore,Etimologia,"Tipo di vegetazione","Diffusione geografica","Nome italiano",Fioritura,Altezza,"Inizio fioritura","Fine fioritura"
195782,"Crepis biennis",Specie,"Pianta bienne, con fusto eretto e setoloso; le foglie basali sono picciolate e profondamente dentate, quelle del fusto sono abbraccianti con lunghi denti alla base. I capolini gialli, di 2-3 cm, hanno un involucro di squame lineari verdi; gli acheni sono allungati e striati e portano un pappo sessile, bianco.<br /><br />La specie è buona mellifera.",c181e94d065d9a29b65919b72f839a88,578198,,,"Il nome del genere è di origine greca signoficando 'scarpa', forse per il fatto che le foglie basali sono addossate al terreno.","Frequente nei prati e pascoli concimati fino al piano montano inferiore.","Diffusa in quasi tutta l'Europa.","Radicchiella dei prati",,,Maggio,Settembre
709781,"Crepis vesicaria",Specie,"Pianta annua o bienne, con foglie basali in rosetta, lirate e dentate, foglie sul fusto bratteiformi, in alto ovali e avvolgenti. I capolini di fiori ligulati, gialli o arrossati, sono raccolti in racemi corimbosi; le brattee avvolgenti esterne sono ovali, un po' rigonfie. Gli acheni sono costolati e con pappo.<br /><br />derata anche sottospecie: si distingue per l'assenza di brattee rigonfie; ha distribuzione prevalentemente occidentale.",c4244021b81e0fad5de67c07abe4f54b,467502,"( = Barkhausia vesicaria DC.)",Linneo,,,"Pianta dell'Europa meridionale.","Radicchiella vescicosa",,,Maggio,Agosto
632780,"Crepis foetida",Specie,"Pianta annua, pelosa, di odore poco grato, con fusti eretti ramosi, foglie a lembo roncinato e capolini di 2 cm di ⌀ all'apice di lunghi peduncoli. Fiori ligulati gialli o leggermente arrossati; acheni a rostro breve o allungato e pappo bianco.",88b756b9cde761e00155ed5b1623b5d2,578203,,Linneo,,"È presente negli ambienti incolti, al margine dei campi, delle strade fino a 1000 m.","Diffusa più o meno in tutta Europa.","Radicchiella selvatica",,,Maggio,Ottobre
495779,"Sonchus oleraceus",Specie,"Pianta annua, fittonante, con fusti eretti e cavi, porta foglie variabili per forma, da lanceolate a roncinate; i corimbi terminati sono dati da capolini di 2 cm di ⌀, con involucro glabro di squame lanceolate e fiori gialli da cui sporgono gli stimmi verdi. Gli acheni sono compressi e con costole longitudinali, il pappo è sessile.<br /><br /> Verdura selvatica apprezzata in primavera, ha proprietà medicinali affini al Taraxacum.",4c38ae4997e0c766d2c565f9bae4c8ed,492350,,Linneo,"Oleraceus significa ","Campi e ambienti concimati, lungo i muri e al bordo delle strade fino al piano montano.","Comunissima in tutta Europa.","Grespino comune",,,Marzo,Ottobre
698778,"Sonchus arvensis",Specie,"Pianta perenne, con getti striscianti, fusti eretti, glauchi; le foglie basali sono roncinate seghettate, quelle del fusto lanceolate e abbraccianti; i capolini, di 3 cm di ⌀, sono raccolti in corimbi e sono costituiti da fiori ligulati gialli; gli acheni costolati portano un pappo sessile.<br /><br />La radice torrefatta si può usare, come quella della cicoria, come succedaneo del caffè; ha proprietà medicinali analoghe a Taraxacum, ed è buona mediterà.",634ee64b2159ed4b6ba12dd3bac483e9,492387,,Linneo,"Il genere riporta il nome greco di questa composita.","Comune infestante dei campi, si trova anche negli incolti, al margine delle strade fino al piano montano inferiore.","Presente in tutta Europa, salvo nell'estremo sud-ovest.","Grespino dei campi",,,Maggio,Settembre
817776,"Chondrilla juncea",Specie,"Pianta perenne, glauca, con fusti eretti ramosi che portano foglie lineari; la rosetta basale presenta foglie a margine grossolanamente dentato, con setole acute. I capolini sono piccoli, composti da pochi fiori ligulati gialli; gli acheni conici portano pappo peduncolato bianco.<br /><br />Le rosette basali si utilizzano in alcuni paesi europei per insalate primaverili.<br /><br />Nelle zone ghiaiose, negli alvei dei torrenti, al margine orientale delle Alpi, è possibile rinvenire <em>C. chondrilloides</em> Karsten, i cui capolini, tutti peduncolati, sono riuniti in corimbo.",ea7523486a61c597ee23f7ef33edc590,467604,,Linneo,"Il nome del genere, dal greco, significa 'grumo', per la caratteristica che ha il latice di rapprendersi, quello specifico significa 'a forma di giunco'.","Si incontra nei prati e pascoli aridi e nei luoghi incolti fino al piano montano.","Diffusa in gran parte delle regioni meridionali del continente.",Lattugaccio,,,Giugno,Settembre
1002775,"Podospermum laciniatum",Specie,"Pianta bienne, più o meno glabra, con fusti ramificati, cavi, che portano foglie pennatopartite con lacinie sottili e capolini piccoli, a involucro cilindrico e fiori ligulati giallo-rossastri; gli acheni, con breve peduncolo, portano un corto pappo all'apice.",4998c6b0ec356adcab35d19687d603c0,5107640,"( = Scorzonera laciniata L.)","(L.) DC.","Gli acheni peduncolati hanno determinato il nome del genere, dal greco pus, podós = piede e spèrma = seme.","La specie, non comune, s'incontra nei campi, negli incolti, lungo i sentieri fino al piano montano.","Presente, anche se relativamente rara, nell'Europa centrale e meridionale.","Scorzonera a foglie laciniate",,,Maggio,Luglio
721774,"Leontodon autumnalis",Specie,"Pianta perenne, appena pelosa, con foglie più o meno pennatopartite, raccolte in rosetta basale; presenta scapi ramificati con 1-2 capolini eretti prima della fioritura, con fiori ligulati gialli; gli acheni portano pappi piumosi.<br /><br />Si consumano in insalata le giovani foglie; buona mellifera.",afe6d09dcfa2b61e4e23e39d6b6ff6bc,503434,,Linneo,"Il margine grossolanamente dentato delle foglie ha dato il nome, dal greco, al genere.","Specie frequente nei prati falciati, nei pascoli e nei campi fino al piano alpino.","Diffusa in Europa, ma rara nella regione mediterranea dove è legata ad ambienti montuosi.","Dente di leone ramoso",,,Giugno,Novembre
697773,"Lactuca serriola",Specie,"Pianta annua o bienne, glabra e glaucescente, con fusto alto più di 1 m, porta foglie abbraccianti a lembo dentato-partito, di solito erette e verticali. I capolini di fiori ligulati gialli sono piccoli e numerosi, portali in ampie pannocchie; gli acheni sono ovali e pelosi.<br /><br />Le plantule possono essere utilizzate come verdura selvatica.",601806ebb5831dc96e8c86b6a34cbef2,468149,,Linneo,,"Presente nei campi, vigneti, luoghi incolti e antropizzati fino al piano collinare.","Diffusa in Europa, manca all'estremo nord.","Lattuga selvatica, erba bussola, scarola",,,Marzo,Settembre
623772,"Lactuca perennis",Specie,"Pianta perenne, glabra, con foglie glauche, porta sul fusto foglie abbraccianti profondamente divise; i capolini di fiori ligulati azzurri o lilla sono portati in pannocchie corimbose.",9bebf1ddf91ba9906d52c397a9c01c36,6229246,,Linneo,,"Si incontra negli ambienti aridi e pietrosi, al bordo dei campi fino al piano montano.","Diffusa nell'Europa centrale.","Lattuga rupestre",,,Aprile,Agosto
423771,"Cichorium intybus",Specie,"Pianta annua o perenne, un po' ispida, con fusto eretto e zigzagante, alto anche più di 1 m; porta foglie basali partite a segmenti acuti e foglie sul fusto più o meno lanceolate e abbraccianti. I capolini sono portati alla ramificazione del fusto o all'apice e sono formati da fiori ligulati azzurri; gli acheni sono conici, con corona di brevi squame per pappo.<br /><br />Le piante selvatiche possono essere utilizzate per preparare insalate crude o cotte, saporite ma decisamente amare; come pianta officinale ha proprietà toniche, stomachiche, febbrifughe; è buona mellifera. Come pianta coltivata è stata diffusa perché la radice torrefalla era utilizzata come succedaneo del caffè; esistono varietà a foglie grandi e con nervature carnose che forniscono ottime verdure, come le famose cicorie da cespo a foglie verdi o rosse (radicchio rosso di Verona e Treviso, variegato di Castelfranco), le cicorie da taglio e infine quelle da radice (di Magdeburgo). L'endivia è una specie affine (<em>C. endivia</em> L.) conosciuta solo come pianta coltivata: fornisce grandi rosette a cespo conosciute come scarola, endivia riccia.",571b61b6c56453352e09c3d64936e844,467862,,Linneo,"Il nome del genere è quello greco della pianta; la specie invece riprende il termine latino, da cui peraltro deriva l'italiano endivia.","La specie è comunissima negli ambienti ruderali, negli incolti, nei campi e lungo i sentieri fino oltre i 1000 m.","Presente nella maggior parte d'Europa.","Cicoria; Radicchio",,,Luglio,Ottobre
1554770,"Taraxacum officinale",Specie,"Pianta perenne, di aspetto alquanto variabile, con foglie lobato-dentate (roncinate) raccolte in rosetta basale, con capolini di 3 cm di ⌀, portati singolarmente su scapi cavi e composti da fiori ligulati gialli. Gli acheni grigiastri presentano un sottile becco e il pappo peduncolato allargato a ombrello.<br /><br />Le rosette basali si consumano crude o cotte in insalata, per il sapore gradevole e leggermente amaro; ha proprietà diuretiche e stimolanti. È buona mellifera.",e64ce28e3ed58f11c82da40e74c99b5c,578234,,Web.,"L'origine del nome generico non è ben nota, forse deriva dal persiano 'erba amara' o dal greco, significando 'cura dei turbamenti', a causa delle proprietà medicinali.","Comunissima nei prati falciati, campi, incolti e lungo i sentieri fino al piano alpino.","Diffusa in tutta Europa.","Tarassaco, soffione, dente di leone, piscialetto",,,Febbraio,Giugno
923769,"Scolymus hispanicus",Specie,"Pianta bienne, con fusto alato e ramoso che porta foglie pennatifide a margine aculeato; i capolini, avvolti da poche brattee e da squame dentate, sono raccolti in racemi e formati da fiori ligulati gialli. Gli acheni ovali presentano una corona di setole non persistenti.<br /><br />Le radici e i giovani getti si possono consumare cotti o in insalata.",71ff15c496d8f8c2346a18a7f4198d05,485030,,Linneo,"Il nome del genere deriva dal greco e indicava un tipo di cardo edule.","Questa specie si incontra su terreni sabbiosi, ruderali, al margine di sentieri fino al piano collinare.","Questa pianta è comune in tutta l'Europa mediterranea.","Scolimo; cardogna",,,Giugno,Agosto
711768,"Tragopogon pratensis",Specie,"La pianta è bienne, appena pelosa, con fusto eretto, striato e cavo, ingrossato ai nodi; le foglie sono lineari abbraccianti. I capolini presentano involucri cilindrici di brattee lanceolate; queste, dopo la fioritura, si ripiegano verso il basso; i fiori sono tutti ligulati, gialli. Gli acheni, fusiformi, presentano un pappo con un lungo peduncolo, alla cui sommità vi sono barbe intrecciate, a ombrello.<br /><br />Le radici e i giovani getti si possono consumare in primavera, prima che siano coriacei; la pianta ha proprietà depurative e diuretiche.",803e894e378cb4f185ce7d9df8e41864,503271,,Linneo,"Le lunghe setole del pappo fanno pensare alla barba di un caprone, o becco, dal greco tràgos= caprone epógon=barba.","Si incontra nei prati e nei pascoli pingui, negli ambienti freschi fino al piano alpino.","Comune in tutta Europa.","Barba di becco",,,Maggio,Settembre
916767,"Lactuca sativa",Specie,"Pianta bienne, glabra, con fusto eretto ramoso, porta foglie in rosetta basale e sul fusto tutte ovali indivise o appena dentate. I capolini, formati da fiori ligulati giallo chiaro, sono portati in pannocchie corimbose.<br /><br />Si tratta di una delle più diffuse piante ortensi, di cui sono note numerose sottospecie; ricordiamo qui le lattughe a cappuccio (ssp. capitata, ssp. crispa), la romana (ssp. longifolia), quelle da taglio (ssp. acephala), ciascuna in numerose cultivar. Sono verdure rinfrescanti e ricche di vitamine, di basso contenuto calorico.",5ec2eb326da7d3f6428d8595949c6a0e,468144,,Linneo,,"Frequentemente pianta coltivata, può presentarsi talora subspontanea in prossimità di orti e luoghi abitati, ma fugace.",,"Lattuga, insalata",,,Aprile,Agosto
803766,"Lactuca virosa",Specie,"Pianta annua o bienne, ispida, con fusto eretto un po' rossastro in alto che porta foglie lanceolate più o meno intere, abbraccianti, spesso chiazzate di rosso. I capolini piccoli di fiori ligulati gialli sono portati in pannocchie allungate, gli acheni sono ovali.<br /><br />Coltivata nella varietà <em>lactucarii</em>, in Inghilterra e in Francia, per il latice che ha proprietà affini agli oppiacei di cui però non presenta l'elevata tossicità, usato come calmante della tosse e analgesico in generale.",225bc41172d32208f61423432c2e085c,486948,,Linneo,"Il nome specifico mette in evidenza le caratteristiche leggermente venefiche del latice, che disseccato fornisce un medicamento ad azione ipnotica, il lactucario od oppio di lattuga.","Si incontra qua e là al bordo dei campi e nei luoghi incolti, lungo i sentieri fino a 1000 m.","Diffusa in Europa, spesso naturalizzata.","Lattuga velenosa",,,Maggio,Settembre
953765,"Lactuca saligna",Specie,"Pianta annua o bienne, glabra, con fusto eretto poco ramificato; le foglie sul fusto sono lineari e abbraccianti, a base sagittata, mentre le basali presentano denti irregolari. I capolini di fiori ligulati giallo chiari, spesso bruni all'apice, sono raccolti in racemi terminali.",29f8dfa338694250bb4d21cab25a7503,468143,,Linneo,"Le foglie del fusto, lineari e un po' revolute al margine, ricordano quelle dei salici, da cui il nome specifico.","Si incontra al margine dei campi, lungo i sentieri e i fossi e negli incolti fino a 1000 m.","Presente nell'Europa centro-meridionale.","Lattuga salcigna",,,Maggio,Settembre
651764,"Sonchus asper",Specie,"Pianta annua o bienne, fittonante, simile a <em>S. oleraceus</em>, ma con foglie rigide e lucide. I fiori ligulati sono gialli, a volte arrossati, gli acheni sono solo costolati longitudinalmente.<br /><br />Usi e proprietà sono analoghi alle specie precedenti.",e31fde488e839babb78b27bc7eff294c,492350,,"(L.) Hill",,"Comune nelle colture sarchiate, negli orti, negli ambienti ruderali e lungo i sentieri fino al piano montano.","Diffusa in tutta Europa.","Grespino spinoso",,,Febbraio,Novembre
524763,"Rhagadiolus stellatus",Specie,"Pianta annua, con fusti ramificati e angolosi, porta rosette di foglie dentato-lirate o spatolate, mentre quelle sul fusto sono intere. I numerosi capolini portano fiori ligulati gialli che a maturità si flettono; gli acheni sono cilindrici, lunghi 2 cm, e senza pappo.",14614444b30a416beb13f6dc83c2b047,509718,,"(L.) Willd.","Il nome generico significa, dal greco, 'fessurato', per il divaricarsi a maturità delle squame dell'involucro, che poi assumono un aspetto stellato con gli acheni.","È presente nei prati e pascoli aridi, negli ambienti ruderali e sassosi e lungo le siepi fino a modesta altitudine.","Non comune nell'Europa meridionale.","Radicchio stellato, erba cornetta",,,Aprile,Giugno
739762,"Picris hieracioides",Specie,"Pianta bienne o perenne, un po' pelosa, con fusti eretti, angolosi, spesso arrossati, che portano foglie abbraccianti, mentre le basali, raccolte in rosetta, sono spatolate, vagamente dentate. I capolini, di 2 cm di ⌀, sono raccolti in lassi racemi e sono costituiti da fiori gialli appena arrossati. Gii acheni fusiformi hanno pappo che non è però persistente.",f274340afab6499a76a606ea7cadf04f,509379,,Linneo,"Il nome del genere significa 'amaro', quello della specie fa riferimento alla somiglianza col genere Hieracium.","Comune infestante, è diffusa negli incolti, nelle discariche e al bordo dei sentieri fino al piano alpino.","Distribuita pressoché in tutta Europa.","Lattaiola, aspraggine",,,Giugno,Settembre
758761,"Hieracium bupleuroides",Specie,"Pianta perenne, pelosetta, con fusti poco ramificati, fogliosi; le foglie sono lanceolate, appena dentate, glauche. I capolini terminali, di 2 cm di ⌀, sono gialli e gli acheni, bruni o rossastri, sono cilindrici con pappo setoloso sessile.",d3fa12e2258f737842dfc8b402d12f5f,6219908,,"C.C. Gmel.","Le foglie lanceolate quasi intere richiamano quelle dell'ombrellifera Bupleurum.","Presente negli ambienti rocciosi, nei detriti e nelle ghiaie in ambienti montani.","Specie legata ai sistemi montuosi dell'Europa centrale e sud-orientale.","Erba dello sparviere a foglie lanceolate",,,Maggio,Agosto
636760,"Hypochoeris maculata",Specie,"Pianta perenne, pelosa, con fusti appena ramificati, presenta le foglie della rosetta basale ovato-spatolate, grossolanamente dentate, spesso macchiate di violetto; i capolini hanno 5 cm di ⌀, con involucro emisferico a brattee lineari; i fiori sono ligulati, color giallo sporco. Gli acheni portano un pappo piumoso sorretto da un asse.",be8df24cf91d50690db7153b7b2eca89,6251463,,,"Il nome del genere deriva dal greco e significa 'cibo per maiali'.","Cresce nei prati, nei pascoli per lo più aridi fino oltre i 1000 m.","Diffusa in tutto il continente europeo, manca all'estremo nord e nella maggior parte della regione mediterranea.","Costolina macchiata",,,Maggio,Luglio
712759,"Leontodon hispidus",Specie,"Pianta perenne, da peloso-ispida a quasi glabra; le foglie sono vagamente dentate o quasi partite, gli scapi portano un solo capolino, penduto prima della fioritura, con fiori ligulati gialli o arrossati. L'achenio presenta pappo piumoso non peduncolato.",b773aa6a89e4f5af0f1829dd20c0614e,503435,,Linneo,,"La specie è comune nei prati, nei pascoli, lungo le scarpate e sentieri fino al piano alpino.","Diffusa in tutta l'Europa continentale.","Dente di leone comune",,,Giugno,Ottobre
518758,"Hypochoeris glabra",Specie,"Pianta annua, glabra, a radice gracile, con fusti ramificati in alto e foglie lanceolate a margine vagamente dentato, raccolte in rosetta basale. I capolini, di 2 cm di ⌀, con involucro cilindrico e squame piegate in fuori, portano fiori ligulati gialli. Gli acheni hanno pappo peduncolato o sessile.",82edd8e7b099ab0c81d4b6310f3e9c71,491946,,Linneo,,"Si incontra qua e là negli incolti e pascoli aridi, al bordo dei campi e sulle scarpate fino oltre i 1000 m.","Diffusa in gran parte del continente.","Costolina liscia",,,Aprile,Maggio
573757,"Hieracium piloselloides",Specie,"Pianta perenne, senza stoloni, con fusti eretti più o meno pelosi, foglie setolose lineari-lanceolate. I capolini, di 15 mm di ⌀, sono raccolti in racemi corimbosi e portano fiori ligulati giallo citrini. Gli acheni cilindrici e tronchi portano un pappo setoloso sessile.",a3dabaf545797491c9df942e19033fe8,487281,,Vill.,"Il nome del genere deriva dal greco e significa 'sparviere'; questo rapace dovrebbe la sua acutezza visiva ai frutti dello Hieracium.","Si incontra negli ambienti ghiaiosi, nei prati aridi, nelle scarpate fino al piano montano.","Diffusa in tutta Europa.","Erba dello sparviere fiorentina",,,Maggio,Agosto
668756,"Hieracium pilosella",Specie,"Pianta perenne, con stoloni rampanti; il fusto, eretto, è privo di foglie e termina con 1 capolino di 2 cm di ⌀, con fiori ligulati gialli o arrossati appena. Le foglie, spatolate o lanceolate, sono intere, tomentose e ispide, bianche nella pagina inferiore. Gli acheni sono cilindrici tronchi, con pappo setoloso sessile.",5badf94c1f53f3aa990433f9815abf1a,,,Linneo,,"Si trova qua e là nei prati aridi, negli ambienti sabbiosi, nelle brughiere fino al piano alpino.","Diffusa pressoché in tutta Europa.",Pilosella,,,Maggio,Ottobre
570755,"Scorzonera humilis",Specie,"Pianta perenne, con robusto fittone, con foglie lanceolato-lineari e fusti fiorali cavi, che portano un capolino a involucro conico con squame di lunghezza diversa. I fiori ligulati sono gialli e gli acheni portano un pappo piumoso.<br /><br />Le radici sono commestibili, ma in alcuni paesi la pianta è protetta, perché non comune.",5603f9e08055f2acb840ffa40f2c7dfa,6246109,,Linneo,"Il nome generico può riferirsi sia alla scorza nera del fittone, sia a scorzone, termine con cui nell'Italia meridionale si indicano i serpenti, contro i cui morsi la pianta si riteneva efficace.","Si incontra, non comune, nei prati e pascoli freschi, nelle boscaglie fino al piano montano.","Presente soprattutto nell'Europa centrale, ma ovunque piuttosto rara.","Scorzonera minore, castracane",,,Giugno,Agosto
832754,"Serratula tinctoria",Specie,"Specie perenne, glabra o quasi, presenta fusti ramosi poco divaricati, con foglie lirato-partite; i capolini sono raccolti in corimbi e presentano involucro allungato con squame rossastre e fiori violetti, dilatati solo alla fioritura.",d959abee69e9f3392dd1b0ddcbe60506,484897,,Linneo,"Le foglie dal margine seghettato ricordano una piccola sega, dal latino serra.","Presente fino oltre i 1000 m nei prati, nelle chiarie e nei boschi.","Diffusa nell'Europa settentrionale e centrale; al sud è legata agli ambienti montani.",Serratula,,,Agosto,Ottobre
586753,"Centaurea scabiosa",Specie,"Pianta perenne, lignificata alla base, porta foglie profondamente pennatopartite; i capolini terminali sono costituiti da fiori porporini.",5ea1727dd3729ec2bd174c47fd098109,467676,,Linneo,"Il nome specifico ricorda presunte qualità nella cura delle malattie della pelle, o ancora la somiglianza con la dipsacacea Scabiosa.","Presente, anche se non frequente, nei prati aridi, nei campi, al margine dei boschi e lungo le siepi fino al piano alpino.","Diffusa pressoché in tutta Europa.","Fiordaliso vedovino",,,Giugno,Settembre
562752,"Tanacetum vulgare",Specie,"Pianta perenne, con fusto eretto più o meno glabro, porta foglie pennato-partite a margine seghettato. I capolini, di 1 cm di ⌀, sono formati da fiori solo tubulosi, gialli, raccolti in corimbi terminali. Gli acheni sono di 2 mm con una piccola coroncina dentata.<br /><br />Coltivata come pianta medicinale e ornamentale, ha proprietà amare, toniche, digestive e febbrifughe; è buona mellifera. La pianta intera veniva usata come insettifuga (un sinonimo è anche <em>Pyrethrum tanacetum</em> Bernh.).<br /><br />Simile, ma con una coroncina di fiori ligulati bianchi e foglie dal contorno ovale, è <em>T. parthenium</em> (L.) Sch, Bip. (= <em>Chrysanthemum parthenium</em> Bernh.); coltivata come aromatica negli orti, può sfuggire negli ambienti ruderali.",f73c2dae7c5a44d0606b44f26f348a2e,468400,"(= Chrysanthemum vulgare Bernh.)",Linneo,"Il nome del genere deriva dal greco e significa 'a lungo' perché i capolini durano in fiore per molto tempo.","Si incontra nei luoghi incolti, sulle scarpate e lungo i sentieri, lungo le sponde fino al piano montano.","È comune pressoché in tutta Europa.","Erba amara, tanaceto",,,Giugno,Settembre
1183751,"Matricaria discoidea",Specie,"Pianta annua o bienne, con odore simile alla camomilla, ma più penetrante; il fusto eretto è molto ramificato, con foglie divise in lacinie sottili; i capolini emisferici presentano fiori solo tubulosi, giallastri. I piccoli acheni portano una coroncina membranosa.",34df6966fb6beb5431c21fc51061315f,488415,"( = M. suaveolens Auct. non L.)",DC.,"Il nome del genere deriva dal latino mater = madre, perché veniva usata come medicinale dopo il parto.","Si incontra comunemente negli ambienti di calpestio, nei luoghi incolti e ruderali fino al piano montano.","Diffusa in tutta Europa.","Camomilla falsa",,,Giugno,Settembre
660750,"Centaurea jacea",Specie,"Pianta perenne, con fusto alto fino a 1 m, poco ramoso, porta foglie intere, sessili e vagamente dentate; i capolini presentano le squame dell'involucro allargate all'apice e sfrangiate, i fiori sono porporini.",7e658d74a2a20dc42d1a6758dcea701e,467797,,Linneo,,"Si spinge fino al piano montano nei prati, negli incolti, al bordo delle boscaglie aride.","Sparsamente diffusa in tutta Europa.","Erba amara; fiordaliso stoppione",,,Giugno,Settembre
476749,"Centaurea cyanus",Specie,"Pianta annua, tomentosa, con fusti eretti ramosi, porta foglie lanceolate o con denti sporgenti, quasi pennate; i capolini isolati, di 3 cm di ⌀, hanno fiori tubulosi allargati alla fauce.<br /><br />Coltivata come ornamentale in numerose varietà; è buona mellifera.",338c819611626a70fd82a9beceeeeb5d,46326105,,Linneo,"Il nome della specie sottolinea il colore azzurro dei fiori.","Infestante delle messi fino a 1000 m.","Diffusa in tutta Europa, ma va rarefacendosi in seguito alle pratiche di diserbo.",Fiordaliso,,,Maggio,Giugno
567748,"Petasites hybridus",Specie,"Pianta perenne, con grosso rizoma, che emette fusti fiorali precoci, lanuginosi, con foglie ridotte a squame rossastre; i capolini cilindrici portano fiori tubulosi bianco-rosati e formano un racemo denso; le foglie, prodotte successivamente, sono grandi fino a 60 cm, rotonde, con robusto picciolo verticale; gli acheni, di 3 mm, hanno un pappo di setole giallognole.",68020669d8410fe37a3d19c5fc73660e,468820,"(= P. officinalis Moench)","(L.) Gaertn., Meyer & Sch.","Le grandi foglie possono fungere da copricapo, pétasos in greco.","Si incontra nei fossi, nei prati umidi fino a 1500 m.","È comune pressoché in tutta Europa.","Farfaraccio maggiore",,,Marzo,Maggio
702747,"Cirsium arvense",Specie,"Pianta perenne, con fusti alti fino a 1,5 m, rossastri e ramosi in alto, con spine solo sulle foglie, che sono lobate profondamente. I capolini hanno involucri ovoidali, ristretti superiormente, da cui si espandono i fiori tubulosi rosa-porporini; gli acheni hanno pappo allungato, con setole piumate. A maturità gli involucri si dilatano a campana.<br /><br />Questa specie, di aspetto molto variabile, è comune infestante; è buona mellifera.",93b6b3fe45079cec46a92bdf5662dd20,468373,,"(L.) Scop.",,"È comune nei campi, nei luoghi incolti e ruderali, lungo i sentieri fino al piano montano.","Diffusa in tutta Europa.","Cardo campestre; stoppione; scardeccione",,,Maggio,Agosto
713746,"Cirsium oleraceum",Specie,"Pianta perenne, con fusti glabri, fogliosi fino in alto. Le foglie verde chiaro portano spine molli. I fiori gialli sono raccolti in capolini con ricettacolo a squame non spinose, chiusi tra brattee lanceolate. Il pappo di peli piumosi sormonta i brevi acheni.<br /><br />È ricercata quale ortaggio, come ricordato dal nome specifico; se ne usano le foglie e i giovani ricettacoli, È buona mellifera.",81de194c4634d82486a79697d3972f4e,6196877,,,,"Presente negli ambienti freschi e umidi, nei prati o nei fossi fino oltre i 1000 m.","Diffusa in tutta Europa.","Cardo giallastro",,,Giugno,Ottobre
629745,"Cirsium monspessulanum",Specie,"Pianta perenne, con fusti eretti poco divisi, pelosi; le foglie, lanceolate, sono spinulose al margine, glabre. I capolini, in radi corimbi terminali, portano fiori porporini; gli acheni sono provvisti di pappo.",1d402a041cf40e236ac9008d8faa02e9,6196822,,"(L.) Hill",,"Si incontra, ma non comune, negli incolti freschi e lungo i sentieri fino al piano collinare.","È presente, anche se rara, nell'Europa occidentale mediterranea.","Cardo di Montpellier",,,Maggio,Agosto
508744,"Carduus crispus",Specie,"Pianta bienne, con fusto eretto alato, spinoso; le foglie ovali, profondamente divise e spinose, sono tomentose sulla pagina inferiore. I capolini, di 2 cm di ⌀ , sono raccolti in gruppi e avvolti da squame pelose e spinescenti, presentano inoltre fiori con corolla porpora o biancastra; gli acheni presentano un lungo pappo setoloso.<br /><br />In alcune regioni le giovani foglie si mangiavano cotte nei periodi di carestia; i giovani ricettacoli dei cardi, prima della fioritura, sono eduli.",0dc9ee4130342af12121a1c111afa340,469130,,Linneo,,"Non frequente, si incontra negli incolti, lungo i sentieri e le rive dei corsi d'acqua e negli ambienti ruderali fino a 1000 m.","Specie diffusa nell'Europa continentale.","Cardo crespo",,,Luglio,Agosto
781743,"Carduus nutans",Specie,"Pianta bienne o perenne, completamente spinosa, con fusto alato appena ramoso, foglie lanceolate, irregolarmente divise. I capolini globosi, isolati, più o meno pendenti, portati su peduncoli tomentosi, presentano l'involucro con squame verdi le esterne, rossastre le interne. Le corolle tubulose sono rosse; gli acheni, di 3 mm, hanno pappo setoloso.<br /><br />I giovani fusti di tutti i cardi sono eduli, cotti, e ricordano nel sapore i carciofi.",45e84f4074791c76502ac951476f1645,469131,,,"In latino carduus indicava questo genere di piante; il nome specifico si riferisce al caratteristico dondolio dei capolini e significa 'fare cenno con il capo'.","Si incontra nei pascoli aridi, negli incolti, al bordo dei campi e delle vie fino a 1500 m.","Diffusa in Europa centrale e occidentale.",,,,Giugno,Settembre
844742,"Carduus pycnocephalus",Specie,"Pianta annua o bienne, più o meno pelosa, con fusto ramoso alato e robuste spine; le foglie sono tomentose nella pagina inferiore e hanno il lembo partito con il margine spinoso. I capolini sono avvolti da squame spinose e portano fiori con corolla rosa-porpora. Gli acheni sono provvisti di pappo.",f2dd8c10fd805d0c166407df28a31e42,,,Linneo,"La specie deriva il suo nome dal greco, significando 'densi capolini'.","Si incontra come ruderale al margine di sentieri, siepi, discariche.","Comune nell'Europa meridionale.","Cardo saettone",,,Maggio,Agosto
590741,"Onopordum acanthium",Specie,"Pianta bienne, con fusto eretto, lanoso, e con ali dentate spinescenti, presenta grandi foglie ovali, lobate, spinose al margine, che sul fusto sono lanceolate e decorrenti. I capolini isolati presentano involucro globoso con squame ispide, i fiori hanno corolle rosee; gli acheni hanno un pappo peloso bruno.<br /><br />Anche in questo caso, come per gli altri cardi, i giovani fusti e i ricettacoli prima della fioritura si possono mangiare cotti, ma sono piuttosto amari. È buona mellifera.",c7d47306f6ade44c0d802a933c44ef03,819830,,Linneo,"Il nome del genere significa, in greco, 'peto d'asino', per l'effetto provocato sugli asini; le foglie spinose ricordano l'acanto.","Si incontra qua e là negli ambienti ruderali, sulle scarpate e negli incolti fino oltre i 1000 m.","È diffusa nell'Europa centro-orientale.","Cardo asinino",,,Luglio,Settembre
