id,name,taxa_kind_id_name,description,col_id,eol_id,Sinonimi,Autore,Etimologia,"Tipo di vegetazione","Diffusione geografica","Nome italiano",Fioritura,Altezza,"Inizio fioritura","Fine fioritura"
598369,"Lathyrus tuberosus",Specie,,,,,,,,,,,,,
45368,"Lathyrus pratensis",Specie,"Pianta erbacea, perenne, con fusti eretti; foglie con due foglioline lanceolato-lineari di 2-4 cm, stipole astate alla base; le corolle gialle, di 15 mm, sono riunite in racemi; legumi di 4 cm.<br /><br />Con corolle rosa-rosso è <em>L. tuberosus</em> L. cicerchia tuberosa, con ingrossamenti rotondi nel rizoma.",3668026c6c8021bbf2dbeb747b3e9f8c,703180,,Linneo,,"Comune nei prati, lungo i sentieri e le siepi, nei boschi fino al piano alpino.","Presente in tutta Europa, è rara nell'area mediterranea","Cicerchia dei prati, erba galletta",,,Maggio,Agosto
591367,"Astragalus danicus",Specie,"Pianta perenne, villosa, simile alla precedente, con infiorescenze globose di fiori purpurei o violetti; I legumi sono ovali, di 1 cm di ⌀, con peli bianchi.",24a8828bb443d61915744ba92782e088,704259,,Retz.,,"Ambienti aridi e incolti fino al piano alpino.","Propria dell'Europa settentrionale, nella centrale è limitata alle regioni montuose.","Astragalo danese",,,Maggio,Giugno
414366,"Astragalus glycyphyllos",Specie,,,,,,,,,,,,,
50365,"Astragalus cicer",Specie,"Pianta perenne, con foglie imparipennatosette formate da elementi lineari lanceolati numerosissimi, di 1 cm ⌀ più; i fiori sono riuniti in racemi densi con corolle giallo chiaro; il legume è ovoidale, di 1 cm di ⌀, irsuto per peli neri.<br /><br />Pianta quasi glabra, a fusti prostrati, è <em>A. glycyphyllos</em> L.",c4299dadba3cda620b5108359fa9517d,704253,,Linneo,"In greco astrégalos indica sia una leguminosa, sia un ossicino angoloso; probabilmente si fa riferimento alla forma dei semi spigolosi","È diffusa negli ambienti aridi, nei prati e negli incolti fino al piano montano","Distribuita nell'Europa centro-meridionale","Astragalo, cece selvatico",,,Giugno,Luglio
715364,"Oxytropis pilosa",Specie,"Pianta perenne, a fusto lignificato alla base, che porta foglie imparipennatoselte di numerosissime foglioline lineari-ellittiche; 1 fiori, di color giallo chiaro, sono riuniti in racemi ovoidali contratti; il legume è eretto, ovale e peloso.<br /><br />Questa specie, come altri astragali, può avere un certo interesse come ornamentale nei giardini rocciosi",1bfdab5a2d3be9c5d76bd5dd776596e4,704078,,"(L.) DC","L'etimologia del nome generico si rifa al greco oxys - acuto e trópis - carena, per la forma appuntita dei petali inferiori","È specie legata agli ambienti detritici e aridi, prevalentemente montani","Distribuita nell'Europa orientale e centrale, Alpi e Penisola Balcanica","Astragalo peloso",,,Giugno,Luglio
756363,"Anthyllis vulneraria",Specie,"Pianta perenne, molto polimorfa, con foglie imparipennate con fogliolina terminale più grande delle altre; porta infiorescenze a capolino sferico di 3-4 cm. di ⌀, con calici pelosi e corolle gialle macchiate talora di rosso; anche il legume è peloso, con di solito 1 seme.<br /><br />Sono presenti numerose sottospecie a distribuzione regionale, spesso di difficile identificazione. Pianta di antico uso, ha proprietà vulnerarie e astringenti.",f6683fcfe5333dc386bc101887caed50,702863,,Linneo,"I caratteristici calici pelosi hanno dato il nome, di derivazione greca, al genere; le proprietà cicatrizzanti sono invece ricordate dal nome specifico.","Si incontra negli ambienti aridi e rocciosi, nei prati e pascoli fino al piano alpino","È presente in quasi tutta Europa",Vulneraria,,,Maggio,Agosto
840362,"Hippocrepis comosa",Specie,"Pianta perenne, con fusto legnoso alia base, foglie composte da 7-11 paia di foglioline ellittiche; infiorescenze a ombrelle contratte di 5-12 fiori con corolle gialle; legumi di 2 cm",83abae1e7ab57781ea11d6def7f2b803,703956,,Linneo,"I legumi articolati con elemento a ferro di cavallo hanno ispiralo il nome dei genere, dai greco tifppos = cavallo e orepis = calzatura.","Specie dei prati aridi, si incontra anche lungo le scarpate, i sentieri e nei boschi aridi fino al piano alpino.","È diffusa nell'Europa centro-occidentale e meridionale.","Sferracavallo comune",,,Maggio,Agosto
618361,"Coronilla vaginalis",Specie,"Piccola pianta legnosa, con fusti striscianti, foglie composte da 7-11 paia di foglioiine più o meno di 1 cm; i fiori gialli sono riuniti in ombrelle povere; il legume, di 2-4 cm, é articolalo.",48d73221168fa9f53f2898fa61cc5f45,703876,,Lam.,,"Si incontra nei prati aridi e negli ambienti rupestri lino a 1800 m circa.","Presente nell'Europa centro-meridionale, è legata prevalentemente ad ambienti prealpini e alpini.","Cornetta guainata",,,Maggio,Agosto
492360,"Coronilla varia",Specie,"Pianta perenne, a fusti prostrato-rampanti, con foglie composte da 8-11 paia di foglioline ellittiche e ombrelle di 10-20 fiori rosa; i legumi sono di 3-6 cm.<br /><br />La pianta è una buona foraggera, con pregi anche ornamentali<br /><br />Con foglie palmatosette a 7-9 elementi, coltivata per i semi e talora inselvatichita, è <em>Lupinus luteus</em> L. lupino giallo, presente negli ambienti ruderali della regione mediterranea.",f25c45e100b338d92cb5b751da9c5035,703877,,Linneo,"Il nome del genere è il diminutivo del latino corona e indica la disposizione dei fiori.","È presente nei prati stabili, sui pendii lungo i sentieri e le scarpate, nelle zone ombrose fino a 1500 m","Comune nell'Europa sud-occidentale.","Cornetta ginestrina",,,Giugno,Agosto
